id,name,type,birth,age,position,number,country,height
JL,Juliet Lohuis,1,1996,3,1,4,2,190
MT,Mira Todorova,1,1994,3,1,17,3,187
ET,Eline Timmerman,1,1998,2,1,,2,191
HK,Hannah Kohn,1,2003,1,2,1,1,182
IV,Ilka Van de Vyver,1,1993,4,2,4,4,179
JN,Julia Nowicka,1,1998,2,2,,5,174
SL,Simone Lee,1,1996,3,3,10,8,188
MSP,Maria Segura Palleres,1,1992,4,3,3,6,185
HJ,Hester Jasper,1,2001,1,3,6,2,175
HD,Helena Dornheim,1,2004,1,3,14,1,185
KR,Krystal Rivers,1,1994,3,4,13,8,180
LB,Lara Berger,1,2001,1,4,15,1,196
RK,Roosa Koskelo,1,1991,5,5,1,7,164
LG,Lena Grundt,1,2004,1,5,5,1,165
SetUp,SetUp65,2,,,,,,
TaTePa,Talent Team Papendal,2,,,,,,
EuAl,Eurosped Almelo,2,,,,,,
CoAl,Coolen Alterno,2,,,,,,
USCM,USC Muenster,2,,,,,,
RCC,RC Cannes,2,,,,,,
VoLeCa,Volero Le Cannet,2,,,,,,
VoZue,Volero Zuerich,2,,,,,,
LeCaVoBa,Le Cannet Volley Ball,2,,,,,,
SAPf,SmAesch Pfeffingen,2,,,,,,
VCM,VC Maritza,2,,,,,,
AlAp,Alterno Apeldoorn,2,,,,,,
EuTw,Eurosped Twente,2,,,,,,
LaBlAa,Ladies in Black Aachen,2,,,,,,
VfBU,VfB Ulm,2,,,,,,
OlSt,Olympiastuetzpunkt Stuttgart,2,,,,,,
BuSt,Bundesstuetzpunkt Stuttgart,2,,,,,,
AsKi,Asterix Kieldrecht,2,,,,,,
IBiFi,Il Bisonte Firenze,2,,,,,,
CaLj,Calcit Ljubljana,2,,,,,,
RoRaVi,Rote Raben Vilsbiburg,2,,,,,,
CSMT,CSM Targoviste,2,,,,,,
GrBuLo,Grot Budowlani Lodz,2,,,,,,
BKSPCBB,BKS Profi Credit Bielsko Biala,2,,,,,,
KSPBU20,KS Palac Bydgoszcz U20,2,,,,,,
SMS,SMS PZPS Szczyrk,2,,,,,,
KAF,Kurobe AquaFairies,2,,,,,,
Be,Beylikduezue,2,,,,,,
ImVoCo,Imoco Volley Conegliano,2,,,,,,
PeStUn,Penn State Unive.,2,,,,,,
BVMB,Banca Valsabbina Millenium Brescia,2,,,,,,
DrSC,Dresdner SC 1898,2,,,,,,
BSBC,Bosca San Bernardo Cuneo,2,,,,,,
SaTeMo,Saugella Team Monza,2,,,,,,
DeInTr,Delta Informatica Trentino,2,,,,,,
GeHeOl,Geovillage Hermaea Olbia,2,,,,,,
CVBa,CV Barcelona,2,,,,,,
VfBSLT,VfB Suhl Lotto Thueringen,2,,,,,,
VCS,VC Sneek,2,,,,,,
AMTVS,Allianz MTV Stuttgart 2,2,,,,,,
UnOfAl,University of Alabama,2,,,,,,
BeAn,Beziers Angels,2,,,,,,
MNE,Luka Bar (MNE),2,,,,,,
FVTM,FV Tuebinger Modell,2,,,,,,
BSPMTVS,BSP MTV Stuttgart,2,,,,,,
VCOB,VCO Berlin,2,,,,,,
OKNKBMB,OK Nova KBM Branik,2,,,,,,
LPV,LP Viesti,2,,,,,,
LPK,LP Kangasala,2,,,,,,
HaeLe,Haemeenlinnan Lentopallokerho,2,,,,,,
Ki,Kimmo,2,,,,,,
SoPa,Someron Pallo,2,,,,,,
EJS,Eigene Jugend Stuttgart,2,,,,,,
GER,Deutschland,2,,,,,,
NED,Niederlande,2,,,,,,
BEL,Belgien,2,,,,,,
BUL,Bulgarien,2,,,,,,
POL,Polen,2,,,,,,
ESP,Spanien,2,,,,,,
FIN,Finnland,2,,,,,,
USA,Vereinigte Staaten von Amerika,2,,,,,,
